subject,step1,step2,final,error
sub-003,0.2217,0.433861,0.402956,
sub-007,0.214437,0.501615,0.406795,
sub-012,0.233086,0.486768,0.420942,
sub-014,0.21279,0.449915,0.31881,
sub-017,0.210634,0.419614,0.308377,
sub-020,0.206401,0.415435,0.35317,
sub-023,0.231612,0.419477,0.321811,
sub-025,0.233601,0.463424,0.346459,
sub-026,0.269441,0.466005,0.384762,
sub-028,0.236167,0.446956,0.371906,
sub-029,0.224027,0.438315,0.364267,
sub-030,0.220711,0.484883,0.425763,
sub-031,0.209296,0.479422,0.367643,
sub-032,0.226776,0.479527,0.338316,
sub-033,0.234267,0.470917,0.403981,
sub-035,0.223423,0.472873,0.383942,
sub-036,0.207832,0.409661,0.335363,
sub-037,0.234827,0.407426,0.365506,
sub-038,0.215533,0.405302,0.283304,
